"","County.x","Antlered.Buck","Button.Buck","Doe","Total","huntType","county_clean","County.y","Population","Area_sq_mi","GEOID"
"324","Sainte Genevieve",134,33,197,364,"Archery","ste genevieve","Sainte Genevieve",18546,502,"29186"
"325","Saline",139,22,150,311,"Archery","saline","Saline",23325,756,"29195"
"326","Schuyler",163,16,115,294,"Archery","schuyler","Schuyler",4069,308,"29197"
"327","Scotland",255,47,220,522,"Archery","scotland","Scotland",4698,438,"29199"
"328","Scott",61,16,108,185,"Archery","scott","Scott",37957,421,"29201"
"329","Shannon",216,32,227,475,"Archery","shannon","Shannon",7275,1004,"29203"
"330","Shelby",221,31,213,465,"Archery","shelby","Shelby",5926,501,"29205"
"331","Stoddard",175,62,326,563,"Archery","stoddard","Stoddard",28438,827,"29207"
"332","Stone",198,27,219,444,"Archery","stone","Stone",32630,463,"29209"
"333","Sullivan",331,27,242,600,"Archery","sullivan","Sullivan",5750,651,"29211"
"334","Taney",240,27,195,462,"Archery","taney","Taney",56744,632,"29213"
"335","Texas",334,62,396,792,"Archery","texas","Texas",25715,1179,"29215"
"336","Vernon",246,31,301,578,"Archery","vernon","Vernon",19787,834,"29217"
"337","Warren",222,46,260,528,"Archery","warren","Warren",38478,432,"29219"
"338","Washington",233,70,331,634,"Archery","washington","Washington",23583,760,"29221"
"339","Wayne",300,112,416,828,"Archery","wayne","Wayne",10820,761,"29223"
"340","Webster",238,43,261,542,"Archery","webster","Webster",42041,593,"29225"
"341","Worth",160,10,115,285,"Archery","worth","Worth",1872,266,"29227"
"342","Wright",259,58,263,580,"Archery","wright","Wright",19505,682,"29229"
"343","Adair",1175,167,890,2232,"Firearms","adair","Adair",25660,568,"29001"
"344","Andrew",568,58,261,887,"Firearms","andrew","Andrew",18091,435,"29003"
"345","Atchison",334,11,56,401,"Firearms","atchison","Atchison",5139,545,"29005"
"346","Audrain",891,292,1091,2274,"Firearms","audrain","Audrain",24304,693,"29007"
"347","Barry",1158,206,1011,2375,"Firearms","barry","Barry",35618,779,"29009"
"348","Barton",850,127,663,1640,"Firearms","barton","Barton",11717,594,"29011"
"349","Bates",999,177,825,2001,"Firearms","bates","Bates",16394,848,"29013"
"350","Benton",1653,376,1824,3853,"Firearms","benton","Benton",20614,706,"29015"
"351","Bollinger",1279,441,1732,3452,"Firearms","bollinger","Bollinger",10610,621,"29017"
"352","Boone",1268,247,1340,2855,"Firearms","boone","Boone",192154,685,"29019"
"353","Buchanan",407,49,279,735,"Firearms","buchanan","Buchanan",83574,410,"29021"
"354","Butler",747,125,637,1509,"Firearms","butler","Butler",41814,698,"29023"
"355","Caldwell",881,123,622,1626,"Firearms","caldwell","Caldwell",9000,429,"29025"
"356","Callaway",1856,501,2349,4706,"Firearms","callaway","Callaway",45126,839,"29027"
"357","Camden",1551,279,1285,3115,"Firearms","camden","Camden",44135,655,"29029"
"358","Cape Girardeau",1125,282,1411,2818,"Firearms","cape girardeau","Cape Girardeau",83658,579,"29031"
"359","Carroll",1220,176,977,2373,"Firearms","carroll","Carroll",8414,695,"29033"
"360","Carter",992,174,938,2104,"Firearms","carter","Carter",5359,508,"29035"
"361","Cass",1077,163,889,2129,"Firearms","cass","Cass",113873,699,"29037"
"362","Cedar",1113,183,968,2264,"Firearms","cedar","Cedar",15023,476,"29039"
"363","Chariton",1050,127,798,1975,"Firearms","chariton","Chariton",7397,756,"29041"
"364","Christian",1087,180,933,2200,"Firearms","christian","Christian",96045,563,"29043"
"365","Clark",948,209,994,2151,"Firearms","clark","Clark",6623,507,"29045"
"366","Clay",403,44,232,679,"Firearms","clay","Clay",263370,396,"29047"
"367","Clinton",435,52,268,755,"Firearms","clinton","Clinton",21721,419,"29049"
"368","Cole",661,189,880,1730,"Firearms","cole","Cole",77625,392,"29051"
"369","Cooper",920,182,1112,2214,"Firearms","cooper","Cooper",17122,565,"29053"
"370","Crawford",1664,405,1716,3785,"Firearms","crawford","Crawford",22808,743,"29055"
"371","Dade",767,126,660,1553,"Firearms","dade","Dade",7622,490,"29057"
"372","Dallas",1319,306,1253,2878,"Firearms","dallas","Dallas",17877,542,"29059"
"373","Daviess",1128,215,1112,2455,"Firearms","daviess","Daviess",8541,567,"29061"
"374","Dekalb",500,61,334,895,"Firearms","dekalb","DeKalb",9884,424,"29063"
"375","Dent",1330,297,1761,3388,"Firearms","dent","Dent",14721,754,"29065"
"376","Douglas",1611,301,1636,3548,"Firearms","douglas","Douglas",12290,815,"29067"
"377","Dunklin",251,23,148,422,"Firearms","dunklin","Dunklin",27002,546,"29069"
"378","Franklin",2797,561,2784,6142,"Firearms","franklin","Franklin",107256,922,"29071"
"379","Gasconade",1682,308,1574,3564,"Firearms","gasconade","Gasconade",14655,520,"29073"
"380","Gentry",713,106,543,1362,"Firearms","gentry","Gentry",6298,492,"29075"
"381","Greene",1234,219,1134,2587,"Firearms","greene","Greene",307942,675,"29077"
"382","Grundy",777,117,645,1539,"Firearms","grundy","Grundy",9766,436,"29079"
"383","Harrison",1498,188,1184,2870,"Firearms","harrison","Harrison",8186,725,"29081"
"384","Henry",1268,310,1519,3097,"Firearms","henry","Henry",22575,702,"29083"
"385","Hickory",1137,251,1092,2480,"Firearms","hickory","Hickory",8766,399,"29085"
"386","Holt",415,35,206,656,"Firearms","holt","Holt",4241,462,"29087"
"387","Howard",922,148,1046,2116,"Firearms","howard","Howard",10150,466,"29089"
"388","Howell",2245,512,2729,5486,"Firearms","howell","Howell",40762,928,"29091"
"389","Iron",732,191,624,1547,"Firearms","iron","Iron",9420,551,"29093"
"390","Jackson",566,80,366,1012,"Firearms","jackson","Jackson",727362,605,"29095"
"391","Jasper",1088,149,848,2085,"Firearms","jasper","Jasper",126479,640,"29097"
"392","Jefferson",1953,382,1971,4306,"Firearms","jefferson","Jefferson",231888,657,"29099"
"393","Johnson",1323,256,1174,2753,"Firearms","johnson","Johnson",55880,831,"29101"
"394","Knox",954,220,972,2146,"Firearms","knox","Knox",3740,506,"29103"
"395","Laclede",1602,280,1521,3403,"Firearms","laclede","Laclede",36738,766,"29105"
"396","Lafayette",698,98,570,1366,"Firearms","lafayette","Lafayette",33511,629,"29107"
"397","Lawrence",906,125,695,1726,"Firearms","lawrence","Lawrence",39151,613,"29109"
"398","Lewis",820,213,935,1968,"Firearms","lewis","Lewis",9852,505,"29111"
"399","Lincoln",1496,382,1820,3698,"Firearms","lincoln","Lincoln",65888,630,"29113"
"400","Linn",1255,168,1016,2439,"Firearms","linn","Linn",11910,620,"29115"
"401","Livingston",986,120,711,1817,"Firearms","livingston","Livingston",14658,535,"29117"
"402","Macon",1881,332,1672,3885,"Firearms","macon","Macon",15177,804,"29121"
"403","Madison",917,273,1162,2352,"Firearms","madison","Madison",12852,497,"29123"
"404","Maries",899,211,916,2026,"Firearms","maries","Maries",8506,528,"29125"
"405","Marion",875,202,1022,2099,"Firearms","marion","Marion",28425,438,"29127"
"406","Mcdonald",1041,138,748,1927,"Firearms","mcdonald","McDonald",24054,540,"29119"
"407","Mercer",866,92,738,1696,"Firearms","mercer","Mercer",3452,454,"29129"
"408","Miller",1056,312,1243,2611,"Firearms","miller","Miller",25668,592,"29131"
"409","Mississippi",177,13,55,245,"Firearms","mississippi","Mississippi",11750,413,"29133"
"410","Moniteau",652,182,894,1728,"Firearms","moniteau","Moniteau",15294,417,"29135"
"411","Monroe",1343,328,1653,3324,"Firearms","monroe","Monroe",8890,646,"29137"
"412","Montgomery",1393,340,1402,3135,"Firearms","montgomery","Montgomery",11511,539,"29139"
"413","Morgan",1429,392,1709,3530,"Firearms","morgan","Morgan",22399,598,"29141"
"414","New Madrid",223,13,89,325,"Firearms","new madrid","New Madrid",15212,678,"29143"
"415","Newton",1289,185,895,2369,"Firearms","newton","Newton",61519,626,"29145"
"416","Nodaway",760,52,354,1166,"Firearms","nodaway","Nodaway",20503,877,"29147"
"417","Oregon",1494,405,2070,3969,"Firearms","oregon","Oregon",8699,792,"29149"
"418","Osage",1333,336,1728,3397,"Firearms","osage","Osage",13478,606,"29151"
"419","Ozark",1328,210,1265,2803,"Firearms","ozark","Ozark",9090,747,"29153"
"420","Pemiscot",112,14,52,178,"Firearms","pemiscot","Pemiscot",14407,493,"29155"
"421","Perry",1169,312,1567,3048,"Firearms","perry","Perry",19100,475,"29157"
"422","Pettis",1146,242,1247,2635,"Firearms","pettis","Pettis",43791,685,"29159"
"423","Phelps",1088,258,1139,2485,"Firearms","phelps","Phelps",45672,673,"29161"
"424","Pike",1549,407,2112,4068,"Firearms","pike","Pike",17961,673,"29163"
"425","Platte",471,55,272,798,"Firearms","platte","Platte",113207,420,"29165"
"426","Polk",1377,257,1201,2835,"Firearms","polk","Polk",33070,637,"29167"
"427","Pulaski",1079,210,1086,2375,"Firearms","pulaski","Pulaski",53964,547,"29169"
"428","Putnam",986,109,723,1818,"Firearms","putnam","Putnam",4539,518,"29171"
"429","Ralls",941,234,1133,2308,"Firearms","ralls","Ralls",10499,471,"29173"
"430","Randolph",1103,194,1218,2515,"Firearms","randolph","Randolph",24077,482,"29175"
"431","Ray",908,116,499,1523,"Firearms","ray","Ray",23199,570,"29177"
"432","Reynolds",1039,273,1333,2645,"Firearms","reynolds","Reynolds",5927,811,"29179"
"433","Ripley",1154,338,1782,3274,"Firearms","ripley","Ripley",10715,630,"29181"
"434","Saint Charles",690,143,693,1526,"Firearms","st charles","Saint Charles",423726,561,"29183"
"435","Saint Clair",1543,294,1447,3284,"Firearms","st clair","Saint Clair",9848,677,"29185"
"436","Saint Francois",1098,329,1283,2710,"Firearms","st francois","Saint Francois",67503,450,"29187"
"437","Saint Louis",354,56,297,707,"Firearms","st louis","Saint Louis",992929,508,"29189"
"438","Sainte Genevieve",1267,258,1152,2677,"Firearms","ste genevieve","Sainte Genevieve",18546,502,"29186"
"439","Saline",928,145,814,1887,"Firearms","saline","Saline",23325,756,"29195"
"440","Schuyler",654,133,576,1363,"Firearms","schuyler","Schuyler",4069,308,"29197"
"441","Scotland",916,225,908,2049,"Firearms","scotland","Scotland",4698,438,"29199"
"442","Scott",353,56,320,729,"Firearms","scott","Scott",37957,421,"29201"
"443","Shannon",1304,322,2014,3640,"Firearms","shannon","Shannon",7275,1004,"29203"
"444","Shelby",889,239,1024,2152,"Firearms","shelby","Shelby",5926,501,"29205"
"445","Stoddard",744,153,679,1576,"Firearms","stoddard","Stoddard",28438,827,"29207"
"446","Stone",989,139,815,1943,"Firearms","stone","Stone",32630,463,"29209"
"447","Sullivan",1172,130,851,2153,"Firearms","sullivan","Sullivan",5750,651,"29211"
"448","Taney",1223,170,950,2343,"Firearms","taney","Taney",56744,632,"29213"
"449","Texas",2214,448,2733,5395,"Firearms","texas","Texas",25715,1179,"29215"
"450","Vernon",1323,205,1091,2619,"Firearms","vernon","Vernon",19787,834,"29217"
"451","Warren",1263,264,1253,2780,"Firearms","warren","Warren",38478,432,"29219"
"452","Washington",1331,423,1717,3471,"Firearms","washington","Washington",23583,760,"29221"
"453","Wayne",1576,307,1286,3169,"Firearms","wayne","Wayne",10820,761,"29223"
"454","Webster",1237,289,1276,2802,"Firearms","webster","Webster",42041,593,"29225"
"455","Worth",485,50,355,890,"Firearms","worth","Worth",1872,266,"29227"
"456","Wright",1532,288,1525,3345,"Firearms","wright","Wright",19505,682,"29229"
