"","County.x","Antlered.Buck","Button.Buck","Doe","Total","huntType","county_clean","County.y","Population","Area_sq_mi","GEOID"
"72","New Madrid",255,18,132,405,"All Hunts","new madrid","New Madrid",15212,678,"29143"
"73","Newton",1648,220,1175,3043,"All Hunts","newton","Newton",61519,626,"29145"
"74","Nodaway",921,57,455,1433,"All Hunts","nodaway","Nodaway",20503,877,"29147"
"75","Oregon",1769,464,2388,4621,"All Hunts","oregon","Oregon",8699,792,"29149"
"76","Osage",1582,383,2001,3966,"All Hunts","osage","Osage",13478,606,"29151"
"77","Ozark",1538,241,1478,3257,"All Hunts","ozark","Ozark",9090,747,"29153"
"78","Pemiscot",129,18,73,220,"All Hunts","pemiscot","Pemiscot",14407,493,"29155"
"79","Perry",1256,337,1773,3366,"All Hunts","perry","Perry",19100,475,"29157"
"80","Pettis",1338,281,1527,3146,"All Hunts","pettis","Pettis",43791,685,"29159"
"81","Phelps",1322,310,1362,2994,"All Hunts","phelps","Phelps",45672,673,"29161"
"82","Pike",1876,480,2499,4855,"All Hunts","pike","Pike",17961,673,"29163"
"83","Platte",649,77,483,1209,"All Hunts","platte","Platte",113207,420,"29165"
"84","Polk",1619,301,1459,3379,"All Hunts","polk","Polk",33070,637,"29167"
"85","Pulaski",1354,271,1403,3028,"All Hunts","pulaski","Pulaski",53964,547,"29169"
"86","Putnam",1333,127,958,2418,"All Hunts","putnam","Putnam",4539,518,"29171"
"87","Ralls",1138,266,1329,2733,"All Hunts","ralls","Ralls",10499,471,"29173"
"88","Randolph",1314,227,1446,2987,"All Hunts","randolph","Randolph",24077,482,"29175"
"89","Ray",1031,130,585,1746,"All Hunts","ray","Ray",23199,570,"29177"
"90","Reynolds",1210,329,1596,3135,"All Hunts","reynolds","Reynolds",5927,811,"29179"
"91","Ripley",1390,383,2045,3818,"All Hunts","ripley","Ripley",10715,630,"29181"
"92","Saint Charles",1030,221,1046,2297,"All Hunts","st charles","Saint Charles",423726,561,"29183"
"93","Saint Clair",1806,371,1813,3990,"All Hunts","st clair","Saint Clair",9848,677,"29185"
"94","Saint Francois",1291,391,1588,3270,"All Hunts","st francois","Saint Francois",67503,450,"29187"
"95","Saint Louis",845,167,1003,2015,"All Hunts","st louis","Saint Louis",992929,508,"29189"
"96","Sainte Genevieve",1401,291,1350,3042,"All Hunts","ste genevieve","Sainte Genevieve",18546,502,"29186"
"97","Saline",1067,167,964,2198,"All Hunts","saline","Saline",23325,756,"29195"
"98","Schuyler",818,149,691,1658,"All Hunts","schuyler","Schuyler",4069,308,"29197"
"99","Scotland",1171,272,1128,2571,"All Hunts","scotland","Scotland",4698,438,"29199"
"100","Scott",414,72,428,914,"All Hunts","scott","Scott",37957,421,"29201"
"101","Shannon",1530,358,2258,4146,"All Hunts","shannon","Shannon",7275,1004,"29203"
"102","Shelby",1110,270,1237,2617,"All Hunts","shelby","Shelby",5926,501,"29205"
"103","Stoddard",930,215,1013,2158,"All Hunts","stoddard","Stoddard",28438,827,"29207"
"104","Stone",1187,166,1034,2387,"All Hunts","stone","Stone",32630,463,"29209"
"105","Sullivan",1504,157,1093,2754,"All Hunts","sullivan","Sullivan",5750,651,"29211"
"106","Taney",1463,197,1145,2805,"All Hunts","taney","Taney",56744,632,"29213"
"107","Texas",2548,511,3131,6190,"All Hunts","texas","Texas",25715,1179,"29215"
"108","Vernon",1569,236,1392,3197,"All Hunts","vernon","Vernon",19787,834,"29217"
"109","Warren",1485,310,1515,3310,"All Hunts","warren","Warren",38478,432,"29219"
"110","Washington",1564,493,2049,4106,"All Hunts","washington","Washington",23583,760,"29221"
"111","Wayne",1888,421,1705,4014,"All Hunts","wayne","Wayne",10820,761,"29223"
"112","Webster",1475,332,1537,3344,"All Hunts","webster","Webster",42041,593,"29225"
"113","Worth",645,60,470,1175,"All Hunts","worth","Worth",1872,266,"29227"
"114","Wright",1791,347,1788,3926,"All Hunts","wright","Wright",19505,682,"29229"
"115","Adair",5,6,31,42,"Managed Hunt","adair","Adair",25660,568,"29001"
"116","Andrew",0,0,0,0,"Managed Hunt","andrew","Andrew",18091,435,"29003"
"117","Atchison",0,0,0,0,"Managed Hunt","atchison","Atchison",5139,545,"29005"
"118","Audrain",0,1,1,2,"Managed Hunt","audrain","Audrain",24304,693,"29007"
"119","Barry",0,0,0,0,"Managed Hunt","barry","Barry",35618,779,"29009"
"120","Barton",0,0,0,0,"Managed Hunt","barton","Barton",11717,594,"29011"
"121","Bates",0,0,0,0,"Managed Hunt","bates","Bates",16394,848,"29013"
"122","Benton",7,12,25,44,"Managed Hunt","benton","Benton",20614,706,"29015"
"123","Bollinger",1,0,1,2,"Managed Hunt","bollinger","Bollinger",10610,621,"29017"
"124","Boone",0,0,0,0,"Managed Hunt","boone","Boone",192154,685,"29019"
"125","Buchanan",0,0,1,1,"Managed Hunt","buchanan","Buchanan",83574,410,"29021"
"126","Butler",5,0,2,7,"Managed Hunt","butler","Butler",41814,698,"29023"
"127","Caldwell",0,0,0,0,"Managed Hunt","caldwell","Caldwell",9000,429,"29025"
"128","Callaway",23,33,106,162,"Managed Hunt","callaway","Callaway",45126,839,"29027"
"129","Camden",0,0,0,0,"Managed Hunt","camden","Camden",44135,655,"29029"
"130","Cape Girardeau",3,2,18,23,"Managed Hunt","cape girardeau","Cape Girardeau",83658,579,"29031"
"131","Carroll",1,0,0,1,"Managed Hunt","carroll","Carroll",8414,695,"29033"
"132","Carter",38,11,44,93,"Managed Hunt","carter","Carter",5359,508,"29035"
"133","Cass",0,0,1,1,"Managed Hunt","cass","Cass",113873,699,"29037"
"134","Cedar",10,2,11,23,"Managed Hunt","cedar","Cedar",15023,476,"29039"
"135","Chariton",11,0,4,15,"Managed Hunt","chariton","Chariton",7397,756,"29041"
"136","Christian",1,0,0,1,"Managed Hunt","christian","Christian",96045,563,"29043"
"137","Clark",0,0,1,1,"Managed Hunt","clark","Clark",6623,507,"29045"
"138","Clay",22,18,49,89,"Managed Hunt","clay","Clay",263370,396,"29047"
